geoid,Region,State,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza,pecent complete
National,NA,NA,All,2012-13,201329,7,3044,3051,46184,6.6061839598,97.067014155
National,NA,NA,All,2012-13,201330,5,2866,2871,46211,6.2128064746,97.123761284
National,NA,NA,All,2012-13,201331,7,2931,2938,46173,6.3630260109,97.043894955
National,NA,NA,All,2012-13,201332,3,2983,2986,46090,6.4786287698,96.869450078
National,NA,NA,All,2012-13,201333,3,3001,3004,45927,6.5408147713,96.526865562
National,NA,NA,All,2012-13,201334,4,2972,2976,46062,6.4608571056,96.810601204
National,NA,NA,All,2012-13,201335,6,2898,2904,46335,6.2674004532,97.384377726
National,NA,NA,All,2012-13,201336,1,2862,2863,45646,6.2721815712,95.936275076
National,NA,NA,All,2012-13,201337,7,2988,2995,46302,6.4684030927,97.315020124
National,NA,NA,All,2012-13,201338,4,3032,3036,46615,6.5129250241,97.972866466
National,NA,NA,All,2012-13,201339,11,3051,3062,46743,6.5507134758,98.24188989
National,NA,NA,All,2013-14,201340,3,3149,3152,47590,6.6232401765,100.02206833
National,NA,NA,All,2013-14,201341,12,3140,3152,47398,6.6500696232,99.618533192
National,NA,NA,All,2013-14,201342,11,3218,3229,47663,6.7746470008,100.17549575
National,NA,NA,All,2013-14,201343,11,3158,3169,47815,6.6276273136,100.49496107
National,NA,NA,All,2013-14,201344,12,3278,3290,48853,6.7344891818,102.67657289
National,NA,NA,All,2013-14,201345,17,3433,3450,49049,7.033782544,103.08851501
National,NA,NA,All,2013-14,201346,15,3328,3343,49519,6.7509440821,104.0763354
National,NA,NA,All,2013-14,201347,28,3437,3465,49699,6.971971267,104.45464959
National,NA,NA,All,2013-14,201348,33,3390,3423,49373,6.9329390558,103.76948055
National,NA,NA,All,2013-14,201349,42,3600,3642,50922,7.1521149994,107.02508433
National,NA,NA,All,2013-14,201350,68,3860,3928,51966,7.5587884386,109.21930663
National,NA,NA,All,2013-14,201351,107,3928,4035,52637,7.6657104318,110.62957786
National,NA,NA,All,2013-14,201352,207,3951,4158,52059,7.9870915692,109.41476897
National,NA,NA,All,2013-14,201401,353,4555,4908,54062,9.0784654656,113.6245652
National,NA,NA,All,2013-14,201402,467,5047,5514,56340,9.7870074547,118.41234145
National,NA,NA,All,2013-14,201403,475,5022,5497,54758,10.038715804,115.08738007
National,NA,NA,All,2013-14,201404,443,4789,5232,54207,9.6518899773,113.9293183
National,NA,NA,All,2013-14,201405,387,4629,5016,54051,9.280124327,113.601446
National,NA,NA,All,2013-14,201406,315,4480,4795,53471,8.9674776982,112.38243361
National,NA,NA,All,2013-14,201407,272,4390,4662,53910,8.6477462437,113.30509989
National,NA,NA,All,2013-14,201408,209,3995,4204,52747,7.9701215235,110.86076987
National,NA,NA,All,2013-14,201409,161,3873,4034,51767,7.7926091912,108.80105928
National,NA,NA,All,2013-14,201410,126,4052,4178,52159,8.0101228935,109.62494352
National,NA,NA,All,2013-14,201411,96,3953,4049,51912,7.7997380182,109.10581238
National,NA,NA,All,2013-14,201412,74,3842,3916,51480,7.6068376068,108.19785832
National,NA,NA,All,2013-14,201413,65,3804,3869,50946,7.5943155498,107.07552622
National,NA,NA,All,2013-14,201414,55,3828,3883,50946,7.6217956267,107.07552622
National,NA,NA,All,2013-14,201415,74,3735,3809,50788,7.4998031031,106.74345044
National,NA,NA,All,2013-14,201416,55,3597,3652,49972,7.3080925318,105.02842611
National,NA,NA,All,2013-14,201417,54,3504,3558,49994,7.1168540225,105.07466451
National,NA,NA,All,2013-14,201418,53,3497,3550,49735,7.1378305017,104.53031242
National,NA,NA,All,2013-14,201419,39,3523,3562,50426,7.0638162852,105.98261856
National,NA,NA,All,2013-14,201420,27,3227,3254,47997,6.7795903911,100.87747875
National,NA,NA,All,2013-14,201421,24,3246,3270,48686,6.7165098796,102.3255814
National,NA,NA,All,2013-14,201422,15,3148,3163,48253,6.5550328477,101.41552559
National,NA,NA,All,2013-14,201423,20,3224,3244,47830,6.782354171,100.52648725
National,NA,NA,All,2013-14,201424,15,3225,3240,47902,6.7638094443,100.67781292
National,NA,NA,All,2013-14,201425,7,3085,3092,47687,6.4839474071,100.22593764
National,NA,NA,All,2013-14,201426,3,3002,3005,47536,6.3215247391,99.908574071
National,NA,NA,All,2013-14,201427,6,3006,3012,47533,6.3366503271,99.902268834
National,NA,NA,All,2013-14,201428,4,2994,2998,47587,6.3000399269,100.01576309
National,NA,NA,All,2013-14,201429,7,2949,2956,47320,6.246830093,99.454597043
National,NA,NA,All,2013-14,201430,3,2988,2991,47252,6.3298907983,99.311678349
National,NA,NA,All,2013-14,201431,5,2936,2941,47092,6.2452221184,98.975399069
National,NA,NA,All,2013-14,201432,1,2851,2852,47190,6.0436533164,99.181370128
National,NA,NA,All,2013-14,201433,5,2878,2883,46853,6.1532879431,98.473081895000007
National,NA,NA,All,2013-14,201434,6,2884,2890,46859,6.1674384857,98.485692368
National,NA,NA,All,2013-14,201435,5,2829,2834,46744,6.0628102002,98.243991635
National,NA,NA,All,2013-14,201436,1,2969,2970,47518,6.2502630582,99.870742652
